ts,active_sessions,cpu,io_file,io_table,lock,synch,other
1785276272.91,0,0,0,0,0,0,0
1785276273.01,2,2,0,0,0,0,0
1785276273.11,1,1,0,0,0,0,0
1785276273.22,2,2,0,0,0,0,0
1785276273.32,0,0,0,0,0,0,0
1785276273.42,1,1,0,0,0,0,0
1785276273.52,1,1,0,0,0,0,0
1785276273.62,0,0,0,0,0,0,0
1785276273.72,0,0,0,0,0,0,0
1785276273.82,0,0,0,0,0,0,0
1785276273.92,1,0,0,0,0,0,1
1785276274.02,0,0,0,0,0,0,0
1785276274.13,0,0,0,0,0,0,0
1785276274.22,1,0,0,1,0,0,0
1785276274.32,0,0,0,0,0,0,0
1785276274.43,2,2,0,0,0,0,0
1785276274.53,1,0,0,0,0,0,1
1785276274.63,1,1,0,0,0,0,0
1785276274.73,0,0,0,0,0,0,0
1785276274.83,0,0,0,0,0,0,0
1785276274.93,0,0,0,0,0,0,0
1785276275.03,1,0,0,1,0,0,0
1785276275.13,0,0,0,0,0,0,0
1785276275.24,0,0,0,0,0,0,0
1785276275.34,0,0,0,0,0,0,0
1785276275.44,0,0,0,0,0,0,0
1785276275.54,0,0,0,0,0,0,0
1785276275.64,0,0,0,0,0,0,0
1785276275.74,1,1,0,0,0,0,0
1785276275.84,0,0,0,0,0,0,0
1785276275.94,0,0,0,0,0,0,0
1785276276.04,0,0,0,0,0,0,0
1785276276.14,3,3,0,0,0,0,0
1785276276.24,0,0,0,0,0,0,0
1785276276.35,0,0,0,0,0,0,0
1785276276.45,2,2,0,0,0,0,0
1785276276.55,0,0,0,0,0,0,0
1785276276.65,0,0,0,0,0,0,0
1785276276.75,0,0,0,0,0,0,0
1785276276.85,1,1,0,0,0,0,0
1785276276.95,0,0,0,0,0,0,0
1785276277.05,1,1,0,0,0,0,0
1785276277.15,0,0,0,0,0,0,0
1785276277.25,0,0,0,0,0,0,0
1785276277.35,0,0,0,0,0,0,0
1785276277.46,1,0,0,1,0,0,0
1785276277.56,0,0,0,0,0,0,0
1785276277.66,0,0,0,0,0,0,0
1785276277.76,1,1,0,0,0,0,0
1785276277.86,1,0,0,0,0,0,1
1785276277.96,0,0,0,0,0,0,0
1785276278.06,0,0,0,0,0,0,0
1785276278.16,0,0,0,0,0,0,0
1785276278.26,1,1,0,0,0,0,0
1785276278.36,0,0,0,0,0,0,0
1785276278.46,0,0,0,0,0,0,0
1785276278.56,0,0,0,0,0,0,0
1785276278.66,0,0,0,0,0,0,0
1785276278.77,0,0,0,0,0,0,0
1785276278.87,0,0,0,0,0,0,0
1785276278.97,0,0,0,0,0,0,0
1785276279.07,1,0,0,0,0,0,1
1785276279.17,0,0,0,0,0,0,0
1785276279.27,2,1,0,1,0,0,0
1785276279.37,1,0,0,1,0,0,0
1785276279.47,4,1,0,0,0,0,3
1785276279.57,1,1,0,0,0,0,0
1785276279.68,0,0,0,0,0,0,0
1785276279.78,1,0,0,0,0,0,1
1785276279.88,0,0,0,0,0,0,0
1785276279.98,0,0,0,0,0,0,0
1785276280.08,0,0,0,0,0,0,0
1785276280.18,0,0,0,0,0,0,0
1785276280.28,0,0,0,0,0,0,0
1785276280.38,2,1,0,0,0,0,1
1785276280.48,2,0,0,0,0,0,2
1785276280.59,0,0,0,0,0,0,0
1785276280.69,0,0,0,0,0,0,0
1785276280.79,1,1,0,0,0,0,0
1785276280.89,0,0,0,0,0,0,0
1785276280.99,1,1,0,0,0,0,0
1785276281.09,0,0,0,0,0,0,0
1785276281.19,0,0,0,0,0,0,0
1785276281.29,0,0,0,0,0,0,0
1785276281.39,0,0,0,0,0,0,0
1785276281.50,1,0,0,0,0,0,1
1785276281.60,0,0,0,0,0,0,0
1785276281.70,0,0,0,0,0,0,0
1785276281.80,3,0,0,2,0,0,1
1785276281.90,0,0,0,0,0,0,0
1785276282.00,0,0,0,0,0,0,0
1785276282.10,0,0,0,0,0,0,0
